Frequency	FFT
0.0	1.0392758343677848
0.9765625	0.5203958571305539
1.953125	0.00032551586523083383
2.9296875	0.0001520856868957208
3.90625	5.749102571537187e-05
4.8828125	5.012728917164612e-05
5.859375	4.8079283525364887e-05
6.8359375	1.5328811634375515e-05
7.8125	2.9236606122205648e-05
8.7890625	6.6941025650374015e-06
9.765625	9.707344404300313e-06
10.7421875	8.539244406135615e-06
11.71875	2.088224588385622e-05
12.6953125	1.6528682396764938e-05
13.671875	1.30464466295532e-05
14.6484375	2.9131116689980943e-05
15.625	1.543526093430561e-05
16.6015625	2.1584942557990847e-05
17.578125	3.017642824659133e-05
18.5546875	1.895854828066084e-05
19.53125	2.2597962301634893e-05
20.5078125	1.4345877477495113e-05
21.484375	1.542420661291214e-05
22.4609375	2.0191887111216968e-05
23.4375	1.4106705711877169e-05
24.4140625	3.6538032948791734e-05
25.390625	3.2792460123122885e-05
26.3671875	3.2805881066128e-05
27.34375	4.514854013590649e-05
28.3203125	2.8158968731029666e-05
29.296875	1.6211021048780392e-05
30.2734375	4.629564763220559e-06
31.25	2.19059453863684e-05
32.2265625	3.490068576979991e-05
33.203125	2.9950524879948525e-05
34.1796875	1.0117703110961238e-05
35.15625	2.0562808962939105e-06
36.1328125	2.1031210218292168e-05
37.109375	2.5913323237832517e-05
38.0859375	7.4745339890399864e-06
39.0625	1.0485743480948033e-05
40.0390625	8.881475800630703e-06
41.015625	2.9682954911472643e-05
41.9921875	3.715260496376354e-05
42.96875	1.1114393313301772e-05
43.9453125	1.8496385874084486e-05
44.921875	1.584562697160164e-05
45.8984375	2.480328305432742e-05
46.875	4.933436562616738e-05
47.8515625	3.355119824795731e-05
48.828125	1.698731431153292e-05
49.8046875	3.9409861173527015e-05
50.78125	2.7383165718920047e-05
51.7578125	3.383881717491384e-05
52.734375	1.690371759879111e-05
53.7109375	3.444587114381701e-05
54.6875	3.2171579729288217e-05
55.6640625	3.222957564047124e-05
56.640625	3.482614451033343e-05
57.6171875	2.1414967669862502e-05
58.59375	1.2923445161729622e-05
59.5703125	2.4097830070450614e-05
60.546875	8.903953863153226e-06
61.5234375	9.769957136254405e-06
62.5	2.1638367600656873e-05
63.4765625	1.9445927261031373e-05
64.453125	1.912413911614629e-05
65.4296875	2.82941072395184e-05
66.40625	5.318737546773695e-06
67.3828125	1.7405547806538094e-05
68.359375	1.1872694365634341e-05
69.3359375	2.526167807382906e-05
70.3125	1.704146088599615e-05
71.2890625	1.3786647203851845e-05
72.265625	1.9501515831816323e-05
73.2421875	2.760060443845244e-05
74.21875	2.929269070352228e-05
75.1953125	1.733218937938619e-05
76.171875	6.635566343373598e-05
77.1484375	4.833389639744398e-05
78.125	9.46279880167903e-06
79.1015625	6.673562630812533e-06
80.078125	1.683899570533784e-05
81.0546875	7.787734112579936e-06
82.03125	4.358425608298344e-06
83.0078125	1.9810420409138026e-05
83.984375	5.678330089816839e-05
84.9609375	5.47161813010897e-05
85.9375	3.64058763924845e-05
86.9140625	2.4427787055479304e-05
87.890625	4.755888274919878e-05
88.8671875	2.4354082156730245e-05
89.84375	3.3041948694621746e-05
90.8203125	2.6148505326258933e-05
91.796875	2.6653402474438783e-05
92.7734375	3.820080834536086e-05
93.75	2.9156362832748533e-05
94.7265625	2.6548929706215785e-06
95.703125	3.426439658239445e-05
96.6796875	6.31566558645232e-05
97.65625	5.488645096091895e-05
98.6328125	2.1194764305908657e-05
99.609375	4.7916975752828633e-05
100.5859375	3.801242027512395e-05
101.5625	1.3380685747892651e-05
102.5390625	6.483331731758793e-06
103.515625	2.597302875039675e-05
104.4921875	1.7587981025911598e-05
105.46875	1.786567165098587e-05
106.4453125	2.064987444132571e-05
107.421875	2.296067312803618e-05
108.3984375	1.337617503685928e-05
109.375	8.53081649115981e-06
110.3515625	3.0278014413996777e-05
111.328125	2.8243119296571852e-05
112.3046875	1.948533713909477e-05
113.28125	5.797540256872256e-06
114.2578125	2.3805850784900318e-05
115.234375	1.1486363740540136e-05
116.2109375	3.707377431474932e-05
117.1875	4.536535269780552e-05
118.1640625	2.8230374999827546e-05
119.140625	2.969067625956454e-05
120.1171875	1.8356771706323998e-05
121.09375	2.3666224169404807e-05
122.0703125	3.4151727654193063e-05
123.046875	4.237597018635743e-05
124.0234375	2.1259252953508025e-05
125.0	1.0112354019182593e-05
125.9765625	7.25397077164064e-06
126.953125	1.2231976674197999e-05
127.9296875	1.3223560207561431e-05
128.90625	1.5102942764320912e-05
129.8828125	2.046882996034428e-05
130.859375	8.46070469049055e-06
131.8359375	8.132067859272237e-06
132.8125	1.5606427448246736e-05
133.7890625	8.337690639754896e-06
134.765625	2.8634073651408452e-05
135.7421875	5.576160022948312e-05
136.71875	2.9162852468199224e-05
137.6953125	1.3409103157849645e-05
138.671875	1.7023599024209416e-05
139.6484375	1.5114290651683502e-05
140.625	2.960288668028796e-05
141.6015625	2.313792491645548e-05
142.578125	9.753261075571531e-06
143.5546875	8.546401314923315e-06
144.53125	1.5955522611830807e-05
145.5078125	1.4974544907796898e-05
146.484375	1.785688173677066e-05
147.4609375	2.1371959125709406e-05
148.4375	3.3084546629735336e-05
149.4140625	4.51863357076388e-05
150.390625	2.378613451903719e-05
151.3671875	3.900667048894032e-06
152.34375	2.3789494722301793e-05
153.3203125	1.2834033697398732e-05
154.296875	1.723577066989975e-05
155.2734375	1.286615729772106e-05
156.25	1.2389590302134938e-05
157.2265625	1.5608434232296954e-05
158.203125	1.1294089809479027e-05
159.1796875	1.8786375320164456e-05
160.15625	2.532516427177589e-05
